,question_en,answer_en,chapter_no,verse_list
911,"We have certainly granted you, [O Muhammad], a clear victory. What is that clear victory?",He is the one who made the Treaty of Hudaybiyyah or the Conquest of Mecca.,48,[1]
912,"What is the name of the pledge that the Muslims took with the Prophet , and upon what was it made?","The Treaty of Hudaybiyyah was concluded, and it was for a truce with the pagans.",48,[10]
913,Why did the Bedouins lag behind in joining the Prophet Muhammad  in his expedition to Mecca?,"They feared the harm that Quraysh might inflict upon the Prophet , and it was not as they claimed, 'We were preoccupied with our wealth and families.'",48,[11 12]
914,"The ones who stayed behind will say, 'When you set out to take spoils, let us follow you.' They want to change the words of Allah. Say, 'You will not follow us. Thus Allah has said before.' They will say, 'Rather, you are envious of us.' But they understand little. Say to the desert Arabs who stayed behind, 'You will be called to fight a people of great might. You will fight them or they will submit. If you obey, Allah will give you a good reward. But if you turn away as you turned away before, He will afflict you with a painful punishment.' Al-Fath , verse 15-16. Explain these noble verses.","The hypocrites will say, 'If you, O Prophet, and your companions set out for the spoils of Khaybar, which Allah has promised you, let us go with you to Khaybar, intending thereby to change the promise of Allah.' Say to them, 'You will not go out with us to Khaybar, for Allah has already decreed that the spoils of Khaybar belong to those who were present at the Treaty of Hudaybiyyah.' They will say, 'This is not what you say.' Say, 'Rather, Allah has commanded this.' They will say, 'You are preventing us from going out with you from envy that we may share the spoils with you.' But they do not understand a thing about Allah except a little. Say to those who remain behind from the bedouins, 'You will be called to fight a people of great might in battle, or they will submit to you. If you obey Allah and His Messenger, He will grant you a great reward. But if you turn away, as you did when you refused to set out with the Messenger of Allah to Mecca, then you will incur a painful punishment.'",48,[15 16]
915,"Explain the meaning of the verse: 'Allah was pleased with the believers when they gave their pledge to you under the tree. He knew what was in their hearts, so He sent down tranquility upon them and rewarded them with a nearby victory.'","God was pleased with the believers when they pledged allegiance to you, O Prophet, under the tree . God knows what is in the hearts of these believing men: their faith, sincerity, and loyalty. So, God sent down tranquility upon them, strengthened their hearts, and compensated them for what they missed at the Hudaybiyyah truce with the near victory of Khaybar.",48,[18]
916,Remember the various spoils of war mentioned in the noble verses of Al-Fath .,"May Allah hasten the spoils of Khaybar for the Muslims, and Allah has promised you another spoil that you could not attain, and Allah, the Exalted, is capable of it, and it is under His disposal and sovereignty, and it is from Persia and Rome.",48,[20 21]
917,"And if those who disbelieve attack you, they will certainly turn their backs and then they will not find a protector or a helper. That is the way of Allah which has already come to pass before, and you will not find in the way of Allah any change.  Al-Fath. Recall the way of Allah in these noble verses.",The year of Allah that He has decreed before is the defeat of the disbelievers and the victory of the believers in truth.,48,[22 23]
918,And He is the One who restrained their hands from you and your hands from them within Makkah after He had given you victory over them. And Allah is Ever All-Seer of what you do.  Al-Fath. Interpret this verse.,"He is the One who restrained the hands of the disbelievers from you and your hands from them at the heart of Makkah after you had despaired of them. Thus, they were left under your authority.  And Allah was with your actions, seeing all that you did, and nothing is hidden from Him.",48,[24]
919,"They are the ones who disbelieved and drove you out from the Sacred Mosque and prevented the offering from reaching its destination, had it not been for some believing men and women whom you did not know, you might have trampled them without knowing and thus incurred a sinful act. Allah will admit into His mercy whoever He wills. If they had separated, We would have certainly punished those who disbelieved among them with a painful punishment. When those who disbelieved put arrogance in their hearts, Allah sent down His tranquility upon His Messenger and upon the believers and imposed upon them the word of righteousness, and they were more deserving of it and worthy of it. Indeed, Allah is all-knowing of all things. Verily, Allah has fulfilled His Messenger's vision in truth: 'You shall indeed enter the Sacred Mosque, Allah willing, in security, your heads shaved and hair cut short, and you shall not fear.' He knew what you did not know and made for you a near victory.","The disbelievers of Quraysh are those who denied the oneness of God, hindered you from entering the Sacred Mosque on the day of Hudaybiyyah, prevented the sacrifice, and detained it from reaching its destination, which is the sacred place. If it were not for some oppressed believers, men and women, living among these disbelievers in Mecca, concealing their faith out of fear for themselves, you would not have known them, lest you attack them with your army and kill them, and thus incur bloodshed, sin, and blame without knowledge. But We have given you power over them. God will show mercy to whomever He wills and guide them to faith after disbelief. If these believers and believing women had distinguished themselves from the polytheists of Mecca and left them, We would have punished those who disbelieved and rejected them with a painful, severe punishment. Those who disbelieved have in their hearts the arrogance of paganism, so they will not accept the message of Muhammad, peace be upon him. Among these things is their refusal to write in the Treaty of Hudaybiyyah 'In the name of God, the Most Merciful, the Most Compassionate,' and their refusal to write what Muhammad, the Messenger of God, had judged. God sent down tranquility upon His messenger and the believers with him and made it obligatory for them to say, 'There is no god but God,' which is the foundation of all piety. The Messenger, peace be upon him, and the believers with him were more deserving of this word of piety than the polytheists, and they were more entitled to it. God is all-knowing; nothing is hidden from Him. God has indeed fulfilled His messenger Muhammad's vision that he and his companions would enter the Sacred House safely, without fear of the polytheists, who would cut off their heads and mutilate them. God knows what is good and beneficial for you , and He has made for you, instead of entering Mecca, a near victory, which is the truce of Hudaybiyyah and the conquest of Khaybar.",48,[25 26 27]
920,"Explain the verse: 'Muhammad is the messenger of Allah, and those with him are harsh against the disbelievers and merciful among themselves. You see them bowing and prostrating, seeking Allah's favor and His pleasure. Their mark is on their faces from the trace of prostration. That is their description in the Torah. And their description in the Gospel is as a seed which sends forth its shoot, then makes it strong, it becomes thick and stands straight upon its stalk, delighting the sowers - that He may enrage by them the disbelievers. Allah has promised those who believe and do righteous deeds among them forgiveness and a great reward.'","Muhammad is the messenger of Allah, and those who are with him on his religion are stern against the disbelievers, merciful among themselves, you see them bowing and prostrating themselves in prayer, seeking the favor of their Lord, that He may grant them His mercy, and admit them into gardens beneath which rivers flow, and He will be pleased with them. Their mark is on their faces from the trace of prostration, this is their description in the Torah. And their description in the Gospel is as a seed which sends forth its shoot, then makes it strong, and it becomes thick and stands straight on its stem, delighting the sowers, that by it He may enrage the disbelievers through them. And in this is a sign of the disbelief of those who hate the companions - may Allah be pleased with them - because whoever Allah has enraged by the companions, then he has been found guilty of that, and it is disbelief. And Allah has promised those who believed among them, and did righteous deeds, forgiveness and a great reward, which is the Garden. .",48,[29]
921,What is the meaning of 'Do not put  before Allah and His Messenger' in verse 1 of Surah Al-Hujurat?,Do not innovate in the religion what Allah and His Messenger have not commanded you.,49,[1]
922,Recite the verses that emphasize lowering one's voice in the presence of the Prophet Muhammad .,"O you who believe, do not raise your voices above the voice of the Prophet, nor speak loudly to him as you speak to one another, lest your deeds become nullified without you realizing it. Verily, those who lower their voices in the presence of Allah's Messenger, they are those whom Allah has tested their hearts for righteousness. For them is forgiveness and a great reward.",49,[2 3 4 5]
923,What is the obligation to do when two groups of believers are fighting each other?,"And if two groups from among the believers fight each other, make peace between them. But if one of them transgresses against the other, fight against the transgressing one until it returns to the command of Allah. Then if it returns, make peace between them with justice and act equitably. Indeed, Allah loves those who act equitably.",49,[9]
924,"O you who believe, do not mock other people, for they may be better than you. Do not mock women, for they may be better than your women. Do not insult yourselves or call each other by offensive names. Bad is the name that is earned after faith. And those who do not repent are the wrongdoers. O you who believe, avoid much suspicion, for indeed, some suspicion is a sin. And do not spy on one another or backbite each other. Would any of you like to eat the flesh of his dead brother? You would detest it. And fear Allah, for Allah is Oft-Returning, Most Merciful.","O you who believe in Allah and His Messenger and do righteous deeds: do not make fun of other believers, for he who is made fun of might be better than the one who makes fun. And do not make fun of believing women, for they might be better than you. Do not mock one another. And do not call each other by offensive nicknames. Offensive nicknames are sinful and hateful. Avoid much suspicion of the believers, for some suspicion is a sin. Do not spy on the private affairs of Muslims. And do not backbite one another. Would any of you like to eat the flesh of his dead brother? You would hate that, so hate to eat his flesh.",49,[11 12]
925,What is Allah's criterion for distinguishing between people?,"Indeed, the most honorable among you in the sight of Allah is the most righteous.",49,[13]
926,What does 'لَا يَلِتْكُم' mean in verse 14 of Surah Al-Hujurat?,You lack nothing.,49,[14]
927,"And the palm-trees, with their clusters of dates hanging down, like tents, full of fruits.  - Explain this verse.","And He caused us to grow palm trees with long stems, some of which bear fruit above others.",50,[10]
928,Who are the People of the Scripture?,"They were living there with their cattle, worshipping idols, and their prophet was said to be Hanthalah bin Safwan, or someone else. Before them, the people of Noah, the people of the Rass, and Thamud disbelieved.",50,[12]
929,Who are the people of the cave and those with them?,"The people of Aykah and the people of Tubba' - each rejected the messengers, so the decree has become due upon them.",50,[14]
930,"Is it not clear to us that the first creation is better, or are they in confusion about a new creation?","Did we not create the first man from clay, then we made him a sperm in a firm lodging? So, we are able to bring him into a new creation, but they are in doubt about the resurrection.",50,[15]
931,Please explain the meaning of these verses.,"Indeed, We have created man and We know what his own self whispers to him, and We are closer to him than his jugular vein. When the angels, recording, sit on his right and his left, recording his deeds. That on his right records his good deeds, and that on his left records his sins. Whatever he speaks, an angel is present, recording it, an angel appointed for that purpose. And the intense horror of the Day of Judgment has come, the truth that cannot be turned away or escaped. That which you, O man, have been fleeing from. The trumpet will be blown for the second blast, that blast on the Day of Promise, which Allah promised the disbelievers. And every soul will come with it two angels, one driving it to the gathering, and the other testifying against it for what it did in the world, good or evil. Indeed, you were heedless of this, O man, but We have removed your cover from you, so today your sight is strong. And the recording angel will say, 'This is what I have of his record, and it is with me, preserved, present.' Allah will say to the driving and recording angels, after they have separated the people, 'Throw every stubborn disbeliever into the Hellfire, the one who disbelieved and turned away from the truth, who withheld what was due to others, transgressed against Allah's servants and His limits, doubted His promise and threat, who associated others with Allah, so worshipped with Him another besides Him, created from His creation, so throw him into the severe punishment of the Hellfire.' His companion, who was with him in the world, will say, 'Our Lord, we did not guide him, but he was in a far astray.' Allah will say, 'Do not dispute with me today, the Day of Reckoning and Account, for there is no benefit in that. I have already warned you in the world with the threat for those who disbelieved in me and defied me. My decision will not be changed, and I do not punish anyone for the sin of another. No, I punish only when the proof against him is established.' Remember, O Messenger, to remind your people on the Day when We will say to the Hellfire, 'Have you been filled?' And it will say, 'Are there more to come?' Then the Lord, the Exalted, will place His foot into it, and it will shrink back from it, and it will say, 'Enough, enough.'",50,[16 17 18 19 20 21 22 23 24 25 26 27 28 29 30]
932,What are the two necessary and interconnected things required for entering paradise?,"Fear of Allah in this world and the meeting with Him on the Day of Judgment with a repentant heart from sins. And Paradise will be brought near for the righteous, not far. This is what you are promised for every repentant, watchful one. He who fears Allah in secret and comes with a heart that returns [to Him]. Enter it in peace, that is the Day of Eternity.",50,[31 32 33 34]
933,What is the 'more' mentioned in the verse?,More is: Looking towards the face of the Most Merciful.,50,[35]
934,"And how many generations have We destroyed before them, who were stronger than them in prowess? Do they not traverse the land to see the fate of those who were before them? Indeed, in that there is a clear reminder for anyone who has a heart or who listens while being attentive.  What is the meaning of these noble verses?","Indeed, the destruction of past generations serves as a lesson for those who possess a heart that understands, or ears that listen, being present-minded, neither heedless nor neglectful.",50,[36 37]
935,Recite the noble verse that proves the validity of glorifying Allah after prayers.,"And from the night, glorify Him and [at] the ends of prostration.",50,[40]
936,And listen on the day when the announcer will call out from a nearby place. What is this day? Who is the announcer? Where is this nearby place? And what is the announcement?,"It is the Day of Judgment, and the announcer is the King, Israfil . The place is the Rock of Jerusalem, the closest place on Earth to Heaven. The call is for Israfil  to say, 'O you bones, and scattered ashes, and dispersed spirits, Allah commands you to gather for the reckoning.'",50,[41]
937,"What does Allah swear by in these noble verses? And the bearers of burdens , [they bear them] with difficulty , {1} And those [pregnant] who carry [the fetus] with ease, {2} And those who are responsible for distributing [provisions], {4} The bearers of burdens.","By Allah, the Exalted, I swear by the winds that stir the dust, by the clouds that carry a great weight of water, by the ships that sail through the seas with ease, and by the angels who carry out Allah's commands in His creation.",51,[1 2 3 4]
938,What is the meaning of:  ?,"Indeed, reckoning and reward are inevitable for one's deeds.",51,[6]
939,"And the sky, with its curves. What is the meaning of: ?","A woman's path is like a path in the desert, with no clear way or guide in creation.",51,[7]
940,"Indeed, you are in a differing statement. He who is misled is misled by it. 'The ravagers were killed.' Those who are in heedlessness, lost. Explain these blessed verses from the chapter Al-Dhariyat.","You, O liars, are indeed in a state of confusion regarding this Quran and the Messenger of Allah . Those who turn away from the Quran and the Messenger  have indeed turned away from faith in them, due to their disregard for the clear proofs and evidences of Allah, and thus they have not been guided to goodness. Cursed are the liars, the unjust who deviate from the truth, they are heedless and excessive in their disbelief and misguidance.",51,[ 8  9 10 11]
941,"What does 'يَهْجَعُونَ' mean in Surah Adh-Dhariyat , verse 17?",They are sleeping.,51,[17]
942,Upon what does the word  in the verse refer?,God Almighty has promised people that they will be held accountable for their deeds.,51,[23]
943,Who is the knowledgeable boy that the angels announced to Ibrahim  from the Dhariyat?,"He is Isaac, peace be upon him.",51,[28]
944,"Then his wife approached in tears, and she wiped her face and said, 'An old, barren woman!' .","When Sarah heard the news of the angels' message, she approached them in surprise, slapped her face in disbelief, and said, 'How can I give birth when I am an old woman who has never conceived?'",51,[29]
945,What does 'مُسَوَّمَةً' mean in the verse: 'So send against them a rain of clay [bricks] from which they will be created like scattered moths  by your Lord for the transgressors  [from Surah Al-Dhariat]?',Anything thrown with it is marked with its name.,51,[33 34]
946,Was anyone from the people of Lot  safe except for his household?,"We found in the city only the house of Lot , for indeed, there was no household that believed among his people except his household, and his wife was among those who disbelieved.",51,[36]
947,"In Surah Al-Zukhruf, Allah says about Pharaoh: 'So We took him and his hosts and threw them into the sea, and he was blameworthy.' What is the meaning of: ''?","Indeed, it is He who sends down to you [O Muhammad] the Qur'an. Those who disbelieve in Allah's signs will have a severe punishment, and Allah is not unaware of what they do.",51,[40]
948,"The word 'firah' usually means fleeing or moving away from something, except for fleeing to Allah in the verse: 'So flee to Allah. Indeed, I am to you from Him a clear warner.' . But how do we flee to Allah?","One of those who have turned from the wrath of Allah to His mercy by believing in Him and His Messenger, and following His commands and acting in obedience.",51,[50]
949,What is the purpose behind the creation of humans and jinn?,"Worshipping Allah alone is the true purpose of life, as guided by the Messengers, and I have created the jinn and mankind only to worship Me.",51,[56]
950,"Explain the meanings of the verses: 'Indeed, those who have wronged will have a punishment similar to that of their peers; so do not rush them. Woe to those who disbelieved from the day they were promised!'","Indeed, those who wronged by disbelieving in the Messenger Muhammad  will have a share of Allah's torment, which will come upon them like the share of those who passed before them. They should not hasten the torment, for it will certainly come to them. Woe and sorrow await those who disbelieved in Allah and His Messenger on the day they were promised the torment, which is the Day of Resurrection.",51,[59 60]
951,What is the stage that Allah  swore by?,"He is the mountain that God, the Exalted, spoke to Moses on.",52,[1]
952,"In the holy verses, what has Allah sworn by in the phrase 'Wa al-Touri' and what is the answer to the oath?","I swear by Allah, the Exalted, by Mount Sinai, by the revealed Book, by the distant House, by the sky, and by the guarded sea. And the answer to the oath is that the punishment of your Lord, O Messenger, will indeed come upon the disbelievers.",52,[1 2 3 4 5 6 7]
953,"And those who believe, and their descendants follow them in faith, We will join with them their descendants, and We will not decrease any of their deeds. Every person is held responsible for what they have earned. Explain the verse 21 of Surah At-Tur.","And those who believe, and their descendants follow them in faith, We will join them with their descendants in their homes of bliss. Even if their parents did not do good deeds, We will not reduce the reward of their deeds in the least. Every person is responsible for his own actions, and no burden is shared by another.",52,[21]
954,Do the people of Paradise drink wine?,"Yes, but this drink is unlike the wine of the world, it does not intoxicate the mind, nor does it lead to foolishness or sinful speech.",52,[23]
955,What is the reason for the bliss of the people of Paradise?,"They were in the world fearful of God Almighty, dreading His punishment and retribution on the Day of Judgment. God showed them mercy by guiding them and sparing them the torment of Hellfire, which is its fire and heat. Previously, they used to supplicate to God alone, asking Him to protect them from the torment of Hellfire and grant them Paradise. He answered their prayers and granted their request, for He is indeed the Most Merciful. Whoever attains His mercy and kindness will gain His pleasure and enter Paradise, and will be spared from His wrath and the Fire. Some of them turned to each other, asking  'We were previously in our families, fearful  But God has shown us mercy and saved us from the torment of Hellfire  We used to invoke Him, for He is indeed the Most Merciful.' - Al-Tur.",52,[25 26 27 28]
956,"Or do they say, 'A poet, we await for him a fortune by chance'?  What is the meaning of this noble verse?","Do the pagans say to you, O Messenger, 'He is a poet, we are waiting for his death'?",52,[30]
957,"What does 'their dreams'  mean in the verse 'Or do you command them with your dreams, or are they a transgressing people?' ?",Their minds.,52,[32]
958,"Explain these verses from the Quran, Surah At-Tur :","Remind, O Messenger, those to whom the Quran was sent, for you are not a sorcerer who reveals the unknown without knowledge, nor a madman who speaks without understanding, as they claim. They say, 'He is a poet, we await his death.' Do their minds command them with this contradictory statement? For the qualities of sorcery, poetry, and madness cannot coexist. Do these pagans claim that Muhammad fabricated the Quran himself? Or were these pagans created without a Creator or Maker, or are they the creators of themselves? Or did they create the heavens and the earth in this magnificent manner? Or do they have treasures of your Lord that they control? Or are they the mighty ones who overpower God's creation by force and dominance? Or do they have a ladder to heaven to listen to the revelation and confirm that what they are upon is true? Or does God, the Exalted, have daughters and you have sons, as you falsely claim? Or do these pagans demand a fee for delivering the message, as they find it difficult to fulfill the obligation they are asked to bear? Or do they have knowledge of the unseen, which they write down and inform people about? Or do they intend deceit and trickery against the Messenger and the believers, for those who disbelieve, their plots and tricks will only rebound upon themselves? Or do they have a deity worthy of worship besides God? Far removed and exalted is He from what they associate. And even if these pagans see the torment descending upon them from the sky, they will not deviate from their disbelief, and they will say, 'This is but clouds piled up one upon another.'",52,[29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44]
959,Do the disbelievers face punishment before the punishment of the Day of Judgment?,"Yes, indeed, those who are lost have a punishment in this world before the punishment of the Day of Judgment, including killing, enslavement, and the torment of the barrier, and other than that. And indeed, for those who wronged, there is a punishment besides that, but most of them do not know.",52,[47]
960,"And be patient for the judgment of your Lord, for indeed, you are within Our sight, and glorify the praise of your Lord when you arise. And during the night, praise Him and at the setting of the stars. Surah At-Tur. Explain these verses.","Be patient, O Messenger, with the judgment and command of your Lord regarding the burden of the message He has laid upon you, and with the harm caused by your people. Indeed, we are with you, watching over and caring for you. Glorify your Lord with His praise when you rise for prayer, and when you rise from sleep, and during the night. And do so again at the time of the morning prayer, just before the disappearance of the stars. In this verse, the attribute of the eyes is affirmed for the Exalted Lord, befitting His majesty, without any resemblance to His creation or likening to His essence. Glory be to Him, and all praise is due to Him, as this has been established in the tradition and agreed upon by the early generations. The word is used here in the plural form for the sake of magnification.",52,[48 49]
961,"And the star when it falls, Your companion has not strayed, nor has he erred, Nor does he speak of his own desire. It is only a revelation that is revealed. He was taught by one mighty in power. One standing, while he was on the highest horizon. Then he approached and descended, until he was two bow lengths or closer, or even nearer. He revealed to His servant what he revealed. His heart did not lie about what he saw. Will you dispute with him about what he sees? And indeed, he saw him in another descent, At the lotus tree of the boundary, Near it is the garden of the abode, When there covered the lotus tree what covered it. His sight did not waver, nor did it stray. Indeed, he saw of the signs of his Lord, the great. Do you interpret the noble verses?","I swear by Allah, the Most High, by the stars when they set, that Muhammad  did not deviate from the path of guidance and truth, nor did he go astray, but rather he was in the utmost state of uprightness, balance, and righteousness, and his speech was not based on his own desire. The Quran and the Sunnah are nothing but a revelation from Allah to His Prophet Muhammad . Allah taught Muhammad  an angel of great strength and beautiful appearance, who is Gabriel . Gabriel appeared to the Prophet  in his true form at the highest horizon, which is the horizon of the sun at its rising. Then Gabriel approached the Prophet , coming closer and closer, until he was as close as two bow-lengths or even closer. Then Allah, the Most High, revealed to His servant Muhammad  through Gabriel . Muhammad's heart did not belie what his eyes saw. Do you deny Muhammad  and argue with him about what he sees and observes from the signs of his Lord? Muhammad  saw Gabriel in his true form again, at the Lote Tree of the Utmost Boundary, which is a tree in the seventh heaven, where all that is raised from the earth ends, and where all that is cast down from above ends. There is a great matter at the Lote Tree from Allah, the description of which is known only to Allah, the Mighty and Majestic. The Prophet  was in a state of great steadfastness and obedience, so he did not move his gaze to the right or left, nor did he exceed what he was commanded to see. Muhammad  saw the Night of Ascension from the great signs of his Lord, indicating Allah's power and greatness, including Paradise, Hellfire, and other things.",53,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18]
962,What was the name of the god that the Quraysh used to worship?,"Have you considered Lat, Uzza, and Manat, the third, the other?",53,[19 20]
963,"What does 'ضِيزَى' mean in the verse 'That, then, is a division, ignoble' from Surah An-Najm ?",This is an unfair and unjust division.,53,[22]
964,What are the conditions for intercession?,"God alone grants permission for intercession, and He is pleased with those whom He wills. And how many angels are there in the heavens whose intercession will not avail at all, except by the permission of Allah and His pleasure.",53,[26]
965,"Who are those who avoid the major sins and the forbidden acts, except for minor ones? Indeed, your Lord is vast in forgiveness. He is the most knowing of you, when He created you from the earth and when you were in the bellies of your mothers. Therefore, do not claim purity for yourselves. He is the most knowing of who is righteous.  Al-Najm . Explain this verse.","They are those who stay away from major sins and indecencies, except for minor sins that one does not persist in or that a servant commits rarely. If they fulfill their duties and avoid prohibited acts, God will forgive these and cover them up. Indeed, your Lord is vast in forgiveness. He knows your conditions best, from when He created your father Adam from clay, and when you were in the bellies of your mothers. Do not boast about yourselves and do not claim righteousness, for He knows best who truly fears His punishment and avoids His disobedience among His servants.",53,[32]
966,"Have you considered the one who turns away , and gives a little, and hoards? Does he have knowledge of the unseen so that he sees ? Explain these verses.","Have you seen the one who turned away from faith when he was reminded and said, 'I fear the punishment of Allah,' so we relieved him of the burden to carry the punishment of Allah. He returned and gave a little of his wealth, and he swore, 'I will not give the rest.' He has knowledge of the unseen, so he knows that another will bear his punishment in the hereafter. That is Walid ibn Mughira.",53,[33 34 35]
967,Does not a single soul bear the burden of another?  What is the meaning of this verse?,"No soul bears the burden of another's sin, and no one can carry another's guilt.",53,[38]
968,Recite the verse that shows that joy and sorrow come from Allah  and by His will.,And that He is the One who makes laugh and makes cry.,53,[43]
969,And that He is the Rich and the Possessor of all might. What is the meaning of: ?,He is the poorest of His creation.,53,[48]
970,And that He is the Lord of the star. What is the star?,"He was a shining star, some of the people of Jahiliyyah used to worship him instead of Allah.",53,[49]
971,And that He destroyed the first 'Ad. Who were the first 'Ad?,The people of Hud .,53,[50]
972,And the star was struck by what struck it. Interpret these verses.,"And the people of Lot - their hearts were deviated by Allah, so He made their high places low and rained upon them stones.",53,[53 54]
973,By which of the favors of your Lord do you question?,"How can you doubt or deny the signs of your Lord's oneness and power, O human?",53,[55]
974,This is a warner from the first warners. Who is this warner?,"This is Muhammad, peace be upon him, a warner of the truth that the prophets before him warned of, and he is not an innovator among the messengers.",53,[56]
975,Are you amazed by this story? What is this story?,The Quran is recent.,53,[59]
976,And you are those who are at rest.  What is the meaning of: ?,They are heedless of what is asked of them and exposed to it.,53,[61]
977,"The Hour has drawn near, and the moon has split. Interpret this noble verse.","The Hour  drew near and the moon was split, with one part on the hill of Abu Qubais and the other on the hill of Al-Qudum. This is a sign from Allah, and the Prophet  asked them to bear witness.",54,[1]
978,What will be the state of people when they come out of their graves on the Day of Judgment?,"Their eyes humbled, they come out of the graves as if they were locusts scattering and hastening to their reckoning. They are called to what they are promised, the disbelievers say, 'This is a hard day, full of terror.' Their eyes cast down, they come out of the tombs as if they were locusts scattering, hastening to the caller. The disbelievers say, 'This is a hard day, the moon.'",54,[7 8]
979,What is the meaning of 'dusr' in the verse: 'And We made him a carrier of ships on waves and dusr' ?,Nails,54,[13]
980,They will know tomorrow who the last liar is. What does '' mean?,Any: The Compeller.,54,[26]
981,"What is the meaning of 'hashiim al-muhtathir' in the verse 'Indeed, We sent upon them a single Sayhah, and they became like the hashiim al-muhtathir.'",And they were like dry grass that is used as fodder for camels and cattle.,54,[31]
982,"Are your disbelievers better than you, or do you have some privilege in the scriptures? Or do they say, 'We are all united in resistance'? Their gathering will be defeated, and they will turn their backs. But the Hour is their appointed time, and the Hour is more dreadful and more bitter than the moon.","Your disbelievers, O people of Quraysh, are better than those whose mention has preceded them who perished due to their disbelief. Or do you have a guarantee from Allah's punishment mentioned in the revealed books that you will be safe from it? Nay, what do the disbelievers of Makkah say: 'We are the ones with firmness, opinion, and command, and our affair is united, so we are a victorious group, none can overcome us if they intend evil against us?' The disbelievers of Makkah will be defeated before the believers, and they will turn and flee, and this has already happened on the day of Badr.",54,[43 44 45 46]
983,"What is Allah's command that is like the blink of an eye, as mentioned in verse 50 of Surah Al-Qamar?","He said, 'Be,' and it was.",54,[50]
984,"And everything they do is recorded in the registers, and every small and large thing is inscribed. Interpret these blessed verses about the moon.","Everything that your predecessors, both good and evil, have done is already written in the books preserved by the Preservers. Every small and big deed of theirs is recorded in their scrolls, and they will be held accountable for it.",54,[52 53]
985,And the star and the tree - they both prostrate . What is the star and what is the tree?,"The star: it has no stalk like the plant, and the tree: it has a stalk like the plant.",55,[6]
986,"In it are fruits and the date-palm and the pomegranate. And the olive and the pomegranate. Explain these verses, O Merciful One.","In it are dates with hanging clusters, which yield fruit, and grain in husks, a provision for you and your livestock, and in it every kind of fragrant plant.",55,[11 12]
987,By which of the favors of your Lord are you two disputing?,"By what favors of your Lord, both religious and worldly, do you two kinds of people - you humans and jinn - disbelieve? I have mentioned it thirty-one times, and the interrogation is for emphasis, as al-Hakim narrated from Jabir that the Messenger of Allah  recited Surah al-Rahman upon us until he finished it, then he said, 'Why do I find you silent towards the jinn? They were better than you in response. I have not read this verse upon them more than thirty-one times.' So, by what blessings of your Lord do you disbelieve, except that they say, 'No, by nothing of Your blessings, our Lord, we disbelieve.' To You be the praise.",55,[13]
988,What are humans and jinn made from?,"God created man from dry clay, like pottery, and created Iblis, who is from the jinn, from a mixture of fire.",55,[14 15]
989,What is the meaning of the verse 'Lord of the two easts and Lord of the two wests '?,"He, the Exalted, is the Lord of the sunrises in winter and summer, and the Lord of the sunsets in both.",55,[17]
990,What does 'kull yawmin huwa fi sha'nin' mean?,"All of Allah's time is in His command, manifesting as He wills, according to what He has decreed in eternity: life, death, honor, disgrace, wealth, poverty, response to supplication, and other matters.",55,[29]
991,"We will suffice you, O you two who are heavy with child.","We will complete your reckoning and reward you for your deeds, both of you, humans and jinn, for we punish the wrongdoers and reward the righteous.",55,[31]
992,The sinners will be recognized by their marks; they will be seized by their forelocks and feet.  What are the characteristics of sinners on the Day of Judgment? And what is the stance of the angels towards them?,"The angels recognize the sinners by their signs, which are black faces and blue eyes, and they take them by their heads and feet and throw them into the fire.",55,[41]
993,"Explain the verse: 'Among them are those who suppress their glances,  chaste, protected by their husbands, or chaste, not touched by men or jinn.'  The Merciful.","In these sheets, there are virgins who keep their eyes lowered towards their husbands, not looking at anyone else, neither touched by any man nor jinn before them.",55,[56]
994,What is the meaning of 'مدهامتان' in the verse 'مُدْهَامَّتَانِ' from the Quran ?,"These two gardens are green, their greenness has intensified to the point of leaning towards black.",55,[62 63 64]
995,What are the beautiful bounties ?,Wives of good character and beautiful faces,55,[70]
996,What is the interpretation of the verse 'And [by] the [angels] who arrange [each] matter [according to the will of Allah]' ?,These wives have dark eyes and are modestly secluded in their tents.,55,[72]
997,Interpret the verse: 'Reclining on green cushions and beautiful carpets  from the Most Merciful.',Reclining on cushions with green covers and beautiful carpets.,55,[76]
999,"On the Day of Judgment, the creation will be of three kinds. Name them.","The people of the right are the dwellers of the high status, how great is their position! And the people of the left are the dwellers of the low status, how wretched is their state! And those who hasten to good deeds in this world are the ones who hasten to the degrees in the hereafter, they are the ones brought near to Allah.",56,[ 7  8  9 10 11]
1000,What is the percentage of entry into Paradise for the three ranks ?,"The Forerunners: Many groups from the early generations of this nation, as well as from other nations, and a few from the later generations of this nation will enter it. The People of the Right: Many groups from the early ones and many from the later ones will enter it. The People of the Left: They will not enter Paradise.",56,[10 11 12 13 14 38 39 40]
1001,What does 'moḍūna' mean in the verse 'Upon adorned couches' ?,Woven with gold and jewels.,56,[15]
1002,"They will be served by immortal youths, who will go around with bowls, and pitchers, and a cup from a flowing spring. Neither their wine will get mixed with water, nor will they feel intoxicated. Explain these verses.","Servants, who are eternally youthful and never die, attend them with goblets, bowls, and a cup from a flowing wine in Paradise, which does not cause their heads to ache nor their minds to wander.",56,[17 18 19]
